"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2176882",0.202740390961432,13.3133439382505,1.4663119044392,0.151736171003,0.369447824201912,-4.9127864977318
"ILMN_1757877",0.0847204609844951,13.5667361192736,1.46596027489144,0.151831432239517,0.369589181050566,-4.91324724233212
"ILMN_1683598",-0.196574373964723,11.7632917952212,-1.46572100011156,0.151896282229338,0.369656459496874,-4.9135607119691
"ILMN_1804498",0.129688527894355,10.4458970432993,1.46546127212815,0.151966700525761,0.369737252760938,-4.91390092646919
"ILMN_1685112",-0.09319504667082,10.9081056268422,-1.46500000614423,0.152091824450713,0.36995107348026,-4.91450500348918
"ILMN_1814156",-0.123977555724624,13.295807513639,-1.46452262884425,0.152221405007644,0.370175627257267,-4.91513000531365
"ILMN_1769473",-0.0733989778830176,10.9468840978741,-1.46414940026302,0.152322776287067,0.37033148791868,-4.9156185276112
"ILMN_1675258",0.239211424016872,10.4343405992029,1.46380553616932,0.15241621947584,0.370452462544229,-4.91606851831273
"ILMN_1798270",0.146130230251546,9.18121958330823,1.46346630010736,0.152508449667619,0.370452462544229,-4.91651236226694
"ILMN_1739640",0.149815916609902,9.13176525261751,1.46344580812093,0.152514022370299,0.370452462544229,-4.91653917035148
"ILMN_1782419",0.139277971747726,10.3426246569254,1.46336461691236,0.152536103541929,0.370452462544229,-4.91664538332457
"ILMN_1700625",-0.120286740592142,9.30607242244962,-1.46328046805355,0.152558991772543,0.370452462544229,-4.91675546001955
"ILMN_1809931",0.22090728401722,12.2323705046756,1.46205007799532,0.152893965918584,0.371175136225614,-4.91836432535896
"ILMN_2067607",-0.122322816739294,10.7848167115164,-1.46163974261616,0.153005809740692,0.37128016100923,-4.91890061968189
"ILMN_2395451",-0.189838403165928,10.4887561471602,-1.46152777045458,0.153036340926605,0.37128016100923,-4.91904694065204
"ILMN_1672081",0.100147762399229,9.05232173449158,1.46137360312946,0.153078385288083,0.37128016100923,-4.91924838464957
"ILMN_1730670",0.137925670904667,9.27011703429527,1.46134302233376,0.153086726343246,0.37128016100923,-4.91928834109197
"ILMN_1731851",-0.0911698002652252,10.3428559603679,-1.4610118642097,0.153177074398962,0.3714086055844,-4.91972098094309
"ILMN_1738955",0.129921994056651,9.71245340886394,1.46066799663208,0.153270934727123,0.371545501605476,-4.92017013440611
"ILMN_1806867",0.091689560198035,12.0184929056842,1.46019000213978,0.15340148153065,0.371687238783781,-4.92079432862965
"ILMN_1758214",0.0970058816280434,9.7995818497809,1.46017992070639,0.153404235858013,0.371687238783781,-4.92080749165665
"ILMN_1810531",0.0987530689187781,9.90488494469948,1.45988698645643,0.153484284965689,0.371776914284037,-4.92118993252287
"ILMN_1721636",0.237908458422232,11.2734532445715,1.45977060809331,0.153516096476054,0.371776914284037,-4.92134185191981
"ILMN_2171461",0.127329475389897,9.18053232265609,1.45939990172681,0.153617462324534,0.371877126807245,-4.92182569859076
"ILMN_2279367",0.195372161761151,12.564572123127,1.45917092411069,0.153680100450591,0.371877126807245,-4.92212450700828
"ILMN_2200636",0.130312363141413,11.6570243858128,1.45907620887576,0.153706016269238,0.371877126807245,-4.92224809536965
"ILMN_1805345",0.117142490294731,8.97998632828922,1.45893834597217,0.153743744279557,0.371877126807245,-4.92242797207585
"ILMN_1702822",0.173717296271937,9.20007703341128,1.45889353925152,0.153756007815463,0.371877126807245,-4.92248643047542
"ILMN_1810229",-0.128466353192578,9.75582890924051,-1.45879826999789,0.153782085456429,0.371877126807245,-4.92261072108452
"ILMN_1723969",-0.156923114953449,13.0188229117914,-1.45848893042706,0.153866783853108,0.371922288529726,-4.92301424421177
"ILMN_2316236",-0.194893241082404,13.8080814721239,-1.45845659408691,0.153875639808453,0.371922288529726,-4.92305642157153
"ILMN_1781039",-0.119797298291107,9.87631800009608,-1.45821575918021,0.153941610009038,0.371991231775672,-4.9233705248251
"ILMN_1730731",0.15474377204168,9.25673820782518,1.4580106089382,0.153997823069261,0.372036569642518,-4.92363805146077
"ILMN_1745075",0.149565515532996,9.0649697437627,1.45776413634147,0.154065380382899,0.372109284882985,-4.92395942112833
"ILMN_2117904",0.114583242399001,10.9702704301154,1.45719459145193,0.15422158071827,0.37239600944465,-4.92470185540916
"ILMN_1658685",0.149238267524102,11.2181717315186,1.45664138413548,0.154373420704445,0.372672068354302,-4.92542275007456
"ILMN_1704173",0.189660888002924,9.33437376153453,1.45618158435631,0.154499713182886,0.372854698411681,-4.92602174165722
"ILMN_2368068",0.116949154698993,10.9646564462751,1.4560926916682,0.154524138651187,0.372854698411681,-4.92613752511473
"ILMN_2383455",-0.0991744390527412,9.94798295452185,-1.45568472632966,0.154636276535309,0.37303467001014,-4.92666882410689
"ILMN_2173294",-0.272620467416943,10.4348921181982,-1.45513089146317,0.154788613044671,0.373221021047474,-4.92738988283941
"ILMN_1696021",-0.10489468857294,11.7096759878089,-1.45513069949986,0.154788665866277,0.373221021047474,-4.92739013272219
"ILMN_1741594",-0.12658778136948,11.2598332915934,-1.45486705194088,0.154861225973018,0.37330346187818,-4.92773330124612
"ILMN_1669878",0.144108262664731,10.0207094452552,1.45473342031286,0.154898013877779,0.37330346187818,-4.92790721788329
"ILMN_1791873",-0.115964396750278,9.79804781484914,-1.45420933560574,0.155042357842644,0.373495986158444,-4.92858916004533
"ILMN_2411264",-0.159035778605695,11.0179659490504,-1.4541703661194,0.155053095119531,0.373495986158444,-4.92863985879562
"ILMN_2379560",0.120630386847368,10.1885696313237,1.45396905200267,0.155108572664789,0.373539045055034,-4.92890174669877
"ILMN_1745513",-0.197785845572986,8.94740286815676,-1.4533106140127,0.155290132994393,0.373885647398522,-4.92975808197866
"ILMN_1733511",0.0714014714487374,12.1358660254864,1.4530110422121,0.155372793880471,0.373994023360455,-4.9301475795532
"ILMN_2278152",-0.204493852285853,11.847643744346,-1.45286703068599,0.155412543414272,0.373999080978048,-4.93033479562337
"ILMN_1670542",0.168090188911886,10.5354703065996,1.4525442749422,0.15550165855564,0.374015813587497,-4.93075432159738
"ILMN_2172318",-0.334764349766675,10.5693015745966,-1.45253105602997,0.155505309254097,0.374015813587497,-4.93077150213228
"ILMN_2298511",0.131883535664351,9.93248440461045,1.45238053593423,0.15554688353913,0.374015813587497,-4.93096712248801
"ILMN_1724040",0.188479189748881,10.0809740914967,1.45229650592834,0.155570096813322,0.374015813587497,-4.93107632265186
"ILMN_1741736",0.119751110112154,11.0611263413216,1.45178128184291,0.155712487421221,0.374241302624048,-4.93174575500594
"ILMN_1770811",-0.15638871902671,10.6281762580965,-1.45168454608713,0.155739233445522,0.374241302624048,-4.93187142093156
"ILMN_2386016",0.111960226948696,10.9192285400582,1.45133584732852,0.155835673782406,0.374382486905543,-4.9323243421174
"ILMN_2348093",-0.156635889538963,13.8977572102482,-1.45103402820411,0.15591918673039,0.374492553428359,-4.93271629500632
"ILMN_1778294",0.180018402622961,9.02148968308355,1.45051983380571,0.156061545312111,0.374717039525456,-4.9333838816616
"ILMN_1684016",-0.130599108637283,9.45293677110551,-1.45042398786623,0.156088092365244,0.374717039525456,-4.93350829706478
"ILMN_1810051",-0.140675340840574,10.462104690727,-1.4499927109609,0.156207590121657,0.374913312459178,-4.9340680386846
"ILMN_2337740",-0.142955014909945,9.60711337052668,-1.44982419617053,0.156254301713925,0.37493483894351,-4.93428670951382
"ILMN_2382121",-0.140658783629917,9.93954010029337,-1.44929990264328,0.156399704458192,0.375193108932065,-4.93496690937873
"ILMN_1665510",-0.114585291033372,11.2365340299432,-1.44891315213038,0.156507030966113,0.375359933756004,-4.93546852785461
